condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,gelb,Waescheklammer,gruen
AF,Trauben,orange,Trauben,gelb,Avokado,rot,Bueroklammer,gruen
NF,Gurke,rot,Bueroklammer,rot,Socken,braun,Waescheklammer,braun
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,rot,Socken,orange
NF,Trauben,orange,Waescheklammer,orange,Aubergine,rot,Birne,rot
ANF,Erdbeere,rot,Bohnen,gruen,Waescheklammer,braun,Bueroklammer,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Zucchini,gruen
NF,Tomate,gruen,Socken,gruen,Zucchini,gelb,Avokado,rot
NF,Aprikose,rot,Waescheklammer,rot,Bueroklammer,gelb,Bueroklammer,orange
ANF,Mandarine,orange,Erbsen,gelb,Socken,braun,Bueroklammer,rot
NF,Moehre,gruen,Bueroklammer,gruen,Socken,gelb,Waescheklammer,orange
NF,Kartoffeln,orange,Bueroklammer,orange,Zucchini,gruen,Birne,gruen
AF,Paprika,braun,Paprika,rot,Waescheklammer,gruen,Bueroklammer,gelb
NF,Kirsche,gelb,Waescheklammer,gelb,Birne,gruen,Socken,orange
ANF,Zitrone,gelb,Tomate,gruen,Avokado,rot,Socken,orange
AF,Socken,gruen,Socken,orange,Zucchini,gelb,Avokado,rot
NF,Banane,braun,Sonnenbrille,braun,Socken,orange,Bueroklammer,rot
AF,Moehre,gruen,Moehre,orange,Socken,braun,Waescheklammer,braun
ANF,Aprikose,rot,Kartoffeln,orange,Waescheklammer,gruen,Birne,gruen
AF,Gurke,rot,Gurke,braun,Zucchini,gruen,Birne,gruen
NF,Paprika,braun,Waescheklammer,braun,Avokado,rot,Bueroklammer,gruen
ANF,Tomate,gruen,Aprikose,rot,Zucchini,gelb,Socken,braun
NF,Walnuss,braun,Bueroklammer,braun,Birne,rot,Aubergine,rot
NF,Zitrone,gelb,Sonnenbrille,gelb,Waescheklammer,braun,Socken,braun
ANF,Bohnen,gruen,Banane,braun,Socken,orange,Zucchini,gelb
NF,Mandarine,orange,Socken,orange,Bueroklammer,gruen,Zucchini,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Birne,gruen,Zucchini,gelb
ANF,Kartoffeln,orange,Walnuss,braun,Birne,gruen,Zucchini,gruen
NF,Erdbeere,rot,Socken,rot,Waescheklammer,gruen,Zucchini,gelb
ANF,Banane,braun,Zitrone,gelb,Bueroklammer,gruen,Avokado,rot
AF,Kirsche,gelb,Kirsche,gruen,Socken,orange,Bueroklammer,rot
NF,Bohnen,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Bueroklammer,gelb
ANF,Walnuss,braun,Erdbeere,rot,Zucchini,gruen,Bueroklammer,gruen
NF,Erbsen,gelb,Socken,gelb,Bueroklammer,rot,Waescheklammer,gruen
ANF,Erbsen,gelb,Mandarine,orange,Bueroklammer,rot,Waescheklammer,gruen
